"query","search interest","increase percent"
"thai green curry recipe",7,"Breakout"
"thai red curry recipe",5,"Breakout"
"palm sugar",5,"Breakout"
"garam masala",5,"Breakout"
"dahl recipe",5,"Breakout"
"reality leaves a lot to the imagination",0,"2,950%"
"panang curry paste",0,"1,950%"
"green day drummer",0,"1,350%"
"nation of poets",0,"1,000%"
"tridhathach",0,"1,000%"
"what can i use instead of curry leaves",5,"180%"
"fenugreek leaves substitute",5,"100%"
"galangal",6,"100%"
"bay leaves vs curry leaves",6,"90%"
"alternative to curry leaves",5,"80%"
"kaffir lime leaves coles",8,"60%"
"red curry paste",10,"60%"
"thai green curry",21,"60%"
"where to buy curry leaves",11,"50%"
"can you freeze curry leaves",7,"50%"
"red thai curry",15,"40%"
"dried curry leaves",34,"40%"
"thai basil",15,"40%"
"buy curry leaves",24,"30%"
"lemongrass",10,"30%"
"thai red curry",16,"30%"
"makrut lime leaves",12,"30%"
"curry leaves plant near me",4,"20%"
"substitute for curry leaves",23,"20%"
"curry leaves recipe",89,"20%"
"lime leaves",100,"20%"
"curry leaves woolworths",82,"20%"
"substitute curry leaves",46,"20%"
"curry tree",40,"20%"
"green curry",48,"20%"
"can you eat curry leaves",13,"20%"
"curry leaves near me",33,"10%"
"kaffir lime leaves",60,"10%"
"how to use curry leaves",24,"10%"
"black mustard seeds",3,"10%"
"kaffir lime",58,"10%"
"fenugreek leaves",23,"10%"
"recipes with curry leaves",6,"9%"
"curry leaves powder",34,"8%"
"kaffir lime leaves woolworths",8,"7%"
"curry leaves replacement",5,"7%"
"curry leaves substitute",46,"6%"
"curry leaves tree",39,"6%"
"fenugreek",22,"4%"
"curry leaves coles",77,"3%"
