"query","search interest","increase percent"
"lime leaves",100,"20%"
"curry leaves recipe",89,"20%"
"curry leaves plant",86,"-20%"
"curry plant",85,"-20%"
"curry leaves woolworths",82,"20%"
"curry leaves coles",77,"3%"
"kaffir lime leaves",60,"10%"
"kaffir lime",58,"10%"
"curry leaf",55,"-20%"
"green curry",48,"20%"
"substitute curry leaves",46,"20%"
"curry leaves substitute",46,"6%"
"fresh curry leaves",42,"-5%"
"curry tree",40,"20%"
"curry leaves tree",39,"6%"
"curry leaves benefits",38,"-9%"
"bay leaves",35,"-20%"
"curry powder",35,"0%"
"dried curry leaves",34,"40%"
"curry leaves powder",34,"8%"
"curry leaves near me",33,"10%"
"curry leaves seeds",31,"-20%"
"curry leaves restaurant",27,"-30%"
"buy curry leaves",24,"30%"
"how to use curry leaves",24,"10%"
"substitute for curry leaves",23,"20%"
"fenugreek leaves",23,"10%"
"curry leaves recipes",22,"-8%"
"fenugreek",22,"4%"
"thai green curry",21,"60%"
"curry leaf plant",20,"-30%"
"curry leaves for hair",19,"-8%"
"fish curry",18,"-20%"
"curry leaves plant bunnings",17,"-40%"
"what are curry leaves",16,"1%"
"thai red curry",16,"30%"
"red thai curry",15,"40%"
"thai basil",15,"40%"
"can you eat curry leaves",13,"20%"
"thai basil leaves",12,"-8%"
"makrut lime leaves",12,"30%"
"where to buy curry leaves",11,"50%"
"lemongrass",10,"30%"
"curry leaves alternative",10,"-6%"
"red curry paste",10,"60%"
"benefits of curry leaves",9,"-40%"
"kaffir lime leaves coles",8,"60%"
"mustard seeds",8,"-7%"
"kaffir lime leaves woolworths",8,"7%"
"pandan leaves",7,"-20%"
