"query","search interest","increase percent"
"moringa powder",100,"3%"
"moringa benefits",60,"10%"
"moringa australia",44,"-20%"
"moringa tree",34,"-3%"
"moringa oil",32,"-3%"
"berberine",30,"0%"
"moringa berberine",29,"0%"
"moringa patches",23,"7%"
"moringa tea",22,"10%"
"what is moringa",22,"-10%"
"chemist warehouse",21,"20%"
"moringa chemist warehouse",21,"30%"
"moringa plant",20,"7%"
"moringa leaf",20,"10%"
"moringa leaves",20,"-10%"
"buy moringa",19,"10%"
"moringa capsules",16,"-10%"
"moringa powder benefits",15,"-8%"
"moringa seeds",14,"20%"
"berberine patches",12,"1%"
"moringa berberine patches",11,"-8%"
"moringa seed",11,"-10%"
"moringa and berberine",10,"-1%"
"benefits of moringa",9,"-20%"
"moringa patch",9,"10%"
"moringa powder australia",9,"30%"
"moringa leaf powder",8,"50%"
"moringa weight loss",8,"-10%"
"moringa oleifera",7,"-30%"
"where to buy moringa",7,"20%"
"moringa tablets",6,"10%"
"moringa tree australia",6,"20%"
"moringa supplement",6,"30%"
"moringa seed oil",5,"-20%"
"moringa drumstick",5,"20%"
"moringa side effects",5,"60%"
"organic moringa powder",5,"3%"
"moringa powder coles",5,"0%"
"moringa plants",5,"60%"
"moringa tea benefits",4,"-2%"
"moringa powder chemist warehouse",4,"0%"
"spirulina",4,"40%"
"moringa health benefits",4,"20%"
"moringa oil benefits",4,"-40%"
"moringa breastfeeding",4,"20%"
"moringa powder woolworths",4,"40%"
"moringa leaf benefits",3,"20%"
"moringa plant for sale",3,"30%"
"moringa benefits for women",3,"60%"
"moringa ban",3,"-50%"
