Time (UTC+11:00),Clicks,Impressions,CTR,Position
2025-11-14T05:00:00,0,1,0%,12
2025-11-14T06:00:00,0,1,0%,11
2025-11-14T07:00:00,0,6,0%,8
2025-11-14T08:00:00,0,5,0%,9
2025-11-14T09:00:00,0,1,0%,9
2025-11-14T10:00:00,0,5,0%,6
2025-11-14T11:00:00,0,1,0%,7
2025-11-14T12:00:00,0,2,0%,9
2025-11-14T13:00:00,0,4,0%,8
2025-11-14T14:00:00,1,3,33.33%,7
2025-11-14T15:00:00,0,3,0%,6
2025-11-14T16:00:00,0,3,0%,8
2025-11-14T17:00:00,0,4,0%,8
2025-11-14T18:00:00,0,3,0%,6
2025-11-14T19:00:00,0,3,0%,13
2025-11-14T20:00:00,0,4,0%,8
2025-11-14T21:00:00,0,2,0%,8
2025-11-14T22:00:00,0,3,0%,7
2025-11-14T23:00:00,0,4,0%,7
2025-11-15T00:00:00,0,0,0%,0
2025-11-15T01:00:00,0,0,0%,0
2025-11-15T02:00:00,0,0,0%,0
2025-11-15T03:00:00,0,0,0%,0
2025-11-15T04:00:00,0,0,0%,0
